timestamp,open,high,low,close,volume
2019-11-18,0.01875,0.01876,0.01322,0.0137,5354356674.0
2019-11-25,0.0137,0.01643,0.01297,0.01591,4855513108.0
2019-12-02,0.01592,0.01603,0.01402,0.01461,4387405882.5
2019-12-09,0.01461,0.0148,0.01326,0.01395,5811404099.4
2019-12-16,0.01395,0.01499,0.01206,0.01489,9976427872.1
2019-12-23,0.01488,0.01527,0.01297,0.0137,10542831279.5
2019-12-30,0.01371,0.01396,0.01269,0.01353,9685121288.7
2020-01-06,0.01353,0.0151,0.01349,0.01503,9677915933.6
2020-01-13,0.01504,0.01824,0.01454,0.01665,8985613036.7
2020-01-20,0.01665,0.01754,0.01565,0.01684,4232183417.9
2020-01-27,0.01685,0.01987,0.01674,0.01909,8935924908.2
2020-02-03,0.01909,0.02385,0.01841,0.02206,10061349383.2
2020-02-10,0.02208,0.02692,0.02008,0.02223,11534444019.6
2020-02-17,0.02224,0.02296,0.0188,0.02133,8416851906.3
2020-02-24,0.02133,0.02136,0.01558,0.01643,7517653937.1
2020-03-02,0.01643,0.01838,0.01443,0.01465,5270557514.5
2020-03-09,0.01465,0.01536,0.00684,0.01026,13008736744.2
2020-03-16,0.01026,0.01277,0.00851,0.0103,7540490345.0
2020-03-23,0.01028,0.0121,0.01007,0.01066,5000297134.9
2020-03-30,0.01066,0.01281,0.01063,0.01257,4723508068.7
2020-04-06,0.01258,0.01408,0.01201,0.01266,5492311891.6
2020-04-13,0.01266,0.01356,0.0118,0.0129,3995392775.7
2020-04-20,0.01291,0.01433,0.01222,0.01426,4450743369.4
2020-04-27,0.01427,0.01672,0.01414,0.01599,6374495769.5
2020-05-04,0.01598,0.01669,0.01284,0.01426,7740081316.8
2020-05-11,0.01426,0.01541,0.0132,0.015,5661481418.4
2020-05-18,0.015,0.01573,0.01383,0.01421,4926569160.8
2020-05-25,0.01421,0.01723,0.01406,0.01582,5342877976.3
2020-06-01,0.01582,0.01824,0.0155,0.0182,7117130498.2
2020-06-08,0.01819,0.01862,0.0151,0.01616,4541374400.3
2020-06-15,0.01616,0.01649,0.015,0.01582,2827645240.3
2020-06-22,0.01582,0.01682,0.0148,0.01577,3409785944.6
2020-06-29,0.01578,0.01725,0.01576,0.01688,4500973675.1
2020-07-06,0.01689,0.01918,0.01682,0.01818,7761747493.5
2020-07-13,0.01815,0.01841,0.0166,0.01753,3725916529.7
2020-07-20,0.01753,0.01937,0.0169,0.01852,3854742726.1
2020-07-27,0.01852,0.02135,0.0175,0.01907,9493255571.7
2020-08-03,0.01907,0.02111,0.01877,0.02045,6369124809.4
2020-08-10,0.02045,0.02852,0.01898,0.02824,12165634927.7
2020-08-17,0.02824,0.03248,0.02332,0.02435,17649953231.6
2020-08-24,0.02434,0.02819,0.02203,0.02696,8784501854.6
2020-08-31,0.02696,0.0499,0.02578,0.03142,51613907771.4
2020-09-07,0.03141,0.03591,0.02833,0.03065,13378093352.6
2020-09-14,0.03065,0.03145,0.02615,0.02694,12111670305.3
2020-09-21,0.02695,0.02893,0.02447,0.02659,9557479211.4
2020-09-28,0.02659,0.02849,0.02395,0.02644,9907775067.3
2020-10-05,0.02644,0.02743,0.02496,0.02656,7602477914.7
2020-10-12,0.02655,0.02784,0.0255,0.02594,4919092230.4
2020-10-19,0.02593,0.02915,0.02532,0.02699,6375020073.1
2020-10-26,0.02698,0.0275,0.02522,0.02574,5224106651.8
2020-11-02,0.02574,0.02674,0.02304,0.02535,7027028512.1
2020-11-09,0.02534,0.02581,0.02461,0.02533,4358690113.6
2020-11-16,0.02532,0.03081,0.0241,0.02875,12063753239.0
2020-11-23,0.02873,0.03915,0.02715,0.03072,21519642597.3
2020-11-30,0.03074,0.03425,0.02903,0.03091,8097574345.0
2020-12-07,0.03093,0.03098,0.027,0.02921,5365146150.7
2020-12-14,0.0292,0.03288,0.0286,0.03122,7194596612.5
2020-12-21,0.03121,0.03191,0.02371,0.02889,11906409330.7
2020-12-28,0.0289,0.03038,0.02593,0.02949,10822396567.1
2021-01-04,0.02949,0.03674,0.0268,0.03275,29980393170.7
2021-01-11,0.03274,0.0328,0.02694,0.0302,16991938926.6
2021-01-18,0.0302,0.03248,0.02636,0.02999,11099439223.6
2021-01-25,0.03,0.04439,0.02754,0.03154,28817710556.9
2021-02-01,0.03154,0.03734,0.03117,0.03597,18831801191.7
2021-02-08,0.03597,0.06122,0.03526,0.05519,33368755893.3
2021-02-15,0.05519,0.06449,0.04509,0.05935,21279937724.1
2021-02-22,0.05935,0.0596,0.038,0.04562,16951190900.7
2021-03-01,0.0456,0.0534,0.04494,0.05173,11142513133.3
2021-03-08,0.05174,0.05417,0.04861,0.05105,10620705024.9
2021-03-15,0.05106,0.0685,0.0482,0.06337,19480679694.9
2021-03-22,0.06337,0.06762,0.05273,0.06362,15304731282.4
2021-03-29,0.06363,0.12851,0.06322,0.12761,37070407563.9
2021-04-05,0.1276,0.14927,0.1035,0.12214,30421991386.5
2021-04-12,0.12212,0.18,0.12154,0.14302,37045889719.3
2021-04-19,0.14302,0.14799,0.0901,0.10176,22972069183.7
2021-04-26,0.10176,0.1335,0.1001,0.12759,13739246572.1
2021-05-03,0.12757,0.17,0.11762,0.14295,24979138201.4
2021-05-10,0.14293,0.14817,0.107,0.11964,20777839079.1
2021-05-17,0.11963,0.11991,0.05563,0.06285,26201640755.1
2021-05-24,0.06282,0.0844,0.06178,0.07196,15369399394.0
2021-05-31,0.07196,0.0829,0.06977,0.07745,9483947730.8
2021-06-07,0.07745,0.0786,0.06572,0.07153,8462170708.7
2021-06-14,0.07154,0.07478,0.06323,0.06768,6270079744.5
2021-06-21,0.06768,0.06883,0.04637,0.06479,14038629373.2
2021-06-28,0.06479,0.06983,0.06325,0.06736,6048926242.2
2021-07-05,0.06734,0.06752,0.05911,0.06184,4713005680.9
2021-07-12,0.06185,0.06286,0.05475,0.05592,4228297609.0
2021-07-19,0.05592,0.05813,0.04911,0.05791,5046590233.3
2021-07-26,0.05789,0.0668,0.05686,0.0632,6984448723.8
2021-08-02,0.06322,0.07645,0.06215,0.07192,6952850680.2
2021-08-09,0.07193,0.09509,0.06969,0.09295,10000704621.9
2021-08-16,0.09294,0.09665,0.08111,0.08795,6953746697.9
2021-08-23,0.08796,0.0915,0.0815,0.08847,5316116089.2
2021-08-30,0.08846,0.10593,0.08508,0.10519,8129413089.5
2021-09-06,0.1052,0.11842,0.07716,0.11241,14697160990.6
2021-09-13,0.11241,0.123,0.09846,0.10369,15398284032.3
2021-09-20,0.10369,0.10375,0.08323,0.08769,9731383623.2
2021-09-27,0.08768,0.09667,0.08258,0.09494,6957058272.4
2021-10-04,0.09495,0.10555,0.08984,0.09747,14680777408.4
2021-10-11,0.09745,0.10406,0.09142,0.0987,9351948626.1
2021-10-18,0.09871,0.10616,0.09695,0.09913,12930624480.3
2021-10-25,0.09913,0.10576,0.08846,0.10152,23324370861.0
2021-11-01,0.10152,0.1105,0.0979,0.1045,21035781333.5
2021-11-08,0.1045,0.11751,0.10279,0.117,28604464540.9
2021-11-15,0.11699,0.12933,0.09787,0.10643,30066150433.1
2021-11-22,0.1065,0.10706,0.08937,0.09518,28954688460.7
2021-11-29,0.09518,0.10195,0.07305,0.08432,30835337765.5
2021-12-06,0.08433,0.09381,0.07889,0.09101,12711375770.6
2021-12-13,0.09102,0.09151,0.07839,0.07944,10758429371.0
2021-12-20,0.07943,0.08322,0.07488,0.08149,9035713112.8
2021-12-27,0.08149,0.08276,0.07354,0.07762,10587145469.4
2022-01-03,0.07761,0.07824,0.06402,0.06611,13453567033.1
2022-01-10,0.06611,0.07039,0.06111,0.06988,10803262362.4
2022-01-17,0.06988,0.07244,0.05265,0.05752,15579543388.2
2022-01-24,0.0575,0.06054,0.05101,0.05863,10909035053.8
2022-01-31,0.05862,0.06634,0.05665,0.06617,8493304993.9
2022-02-07,0.06616,0.07165,0.06216,0.06427,10936664213.8
2022-02-14,0.06427,0.06712,0.06103,0.06199,9549684593.9
2022-02-21,0.06199,0.06388,0.0554,0.05807,15093976357.8
2022-02-28,0.05808,0.06292,0.05743,0.05889,8856203229.3
2022-03-07,0.05889,0.06263,0.05782,0.05931,8737016761.4
2022-03-14,0.0593,0.06246,0.0589,0.06156,7618644685.0
2022-03-21,0.06155,0.06956,0.06075,0.06899,11270299416.7
2022-03-28,0.06899,0.07956,0.06745,0.07312,12736567716.3
2022-04-04,0.07311,0.07313,0.06213,0.06238,7842785561.9
2022-04-11,0.06236,0.06289,0.05774,0.06009,6861576564.0
2022-04-18,0.06008,0.075,0.05886,0.06567,15792490172.4
2022-04-25,0.06567,0.07171,0.06158,0.07079,12529168070.3
2022-05-02,0.07078,0.09279,0.06455,0.08794,34117315092.8
2022-05-09,0.08796,0.08816,0.063,0.0724,31232434396.5
2022-05-16,0.07241,0.07864,0.06716,0.07815,7305266642.8
2022-05-23,0.07814,0.08836,0.07579,0.08055,12324355593.5
2022-05-30,0.08054,0.09222,0.07627,0.08151,10686025346.9
2022-06-06,0.08151,0.08486,0.07411,0.07618,6823927264.4
2022-06-13,0.07617,0.07674,0.04664,0.06132,28812070767.5
2022-06-20,0.06132,0.06686,0.05946,0.06504,6008999288.6
2022-06-27,0.06503,0.07046,0.06192,0.06628,6295220864.8
2022-07-04,0.06629,0.07153,0.06547,0.06763,4315933568.1
2022-07-11,0.06764,0.06944,0.06365,0.06744,4255618131.5
2022-07-18,0.06746,0.07079,0.06598,0.06683,4951457437.3
2022-07-25,0.06684,0.072,0.06297,0.06886,4133752546.6
2022-08-01,0.06886,0.07154,0.06728,0.06962,2720249789.8
2022-08-08,0.06962,0.07241,0.06787,0.07036,2771031788.6
2022-08-15,0.07037,0.07117,0.06392,0.0659,3074361780.6
2022-08-22,0.0659,0.06682,0.06113,0.06141,2928372760.8
2022-08-29,0.06141,0.06705,0.06095,0.06351,3061253979.3
2022-09-05,0.06351,0.06499,0.05993,0.06419,3132964628.3
2022-09-12,0.0642,0.06477,0.06055,0.06077,2797767919.6
2022-09-19,0.06077,0.0622,0.05869,0.0597,3004888113.8
2022-09-26,0.0597,0.06232,0.05835,0.06093,3287526968.4
2022-10-03,0.06093,0.06331,0.06068,0.06236,2385539480.1
2022-10-10,0.06235,0.0655,0.05933,0.06187,4804102937.0
2022-10-17,0.06187,0.0632,0.0607,0.06188,2563181512.0
2022-10-24,0.06188,0.06481,0.06113,0.0631,2593632213.8
2022-10-31,0.0631,0.06536,0.0614,0.06268,2694930359.0
2022-11-07,0.06268,0.0655,0.05038,0.05084,9089239499.1
2022-11-14,0.05085,0.05287,0.04526,0.05008,5705310035.8
2022-11-21,0.05008,0.05425,0.04893,0.05327,4646527361.0
2022-11-28,0.05327,0.05513,0.05189,0.05309,2917764491.2
2022-12-05,0.05309,0.05593,0.05241,0.05397,2398491838.7
2022-12-12,0.05397,0.05765,0.05189,0.05378,3506821638.3
2022-12-19,0.05378,0.05586,0.05305,0.05481,1989276159.8
2022-12-26,0.0548,0.05524,0.05321,0.05481,1842825208.2
2023-01-02,0.0548,0.05574,0.04976,0.05439,3962083346.6
2023-01-09,0.05439,0.06576,0.05366,0.06231,3984742342.1
2023-01-16,0.06232,0.06379,0.05879,0.06166,2633979962.9
2023-01-23,0.06166,0.06475,0.05921,0.06378,2958439294.1
2023-01-30,0.06376,0.06575,0.06138,0.06411,3245703990.6
2023-02-06,0.06412,0.07134,0.06192,0.06388,3288703785.8
2023-02-13,0.06388,0.07168,0.06293,0.07038,3663853338.4
2023-02-20,0.07038,0.07307,0.06678,0.06951,2818703780.8
2023-02-27,0.06952,0.07036,0.06604,0.06725,2084856584.7
2023-03-06,0.06724,0.06772,0.05484,0.06458,4495887956.5
2023-03-13,0.06459,0.069,0.06341,0.0665,4610285334.4
2023-03-20,0.06651,0.06836,0.0568,0.06412,4761658816.0
2023-03-27,0.06413,0.0672,0.06186,0.06518,2739036193.4
2023-04-03,0.06518,0.06688,0.06428,0.06662,2114625920.5
2023-04-10,0.06661,0.0678,0.06211,0.06655,2782389612.8
2023-04-17,0.06655,0.06716,0.0643,0.06671,2283170641.9
2023-04-24,0.06671,0.06823,0.06388,0.06713,2004027583.6
2023-05-01,0.06714,0.07137,0.06676,0.0692,2362479253.5
2023-05-08,0.06919,0.07041,0.06679,0.06939,1981311170.3
2023-05-15,0.06939,0.0773,0.06905,0.07501,2161020092.1
2023-05-22,0.075,0.07988,0.0742,0.07742,2545247485.2
2023-05-29,0.07743,0.0858,0.07406,0.08138,2623421315.4
2023-06-05,0.08137,0.08187,0.06445,0.07025,2834029927.4
2023-06-12,0.07024,0.07286,0.0689,0.07016,1650126887.4
2023-06-19,0.07016,0.07417,0.06799,0.07313,1855678017.8
2023-06-26,0.07314,0.0777,0.07235,0.07603,1513730713.2
2023-07-03,0.07603,0.08045,0.07578,0.07748,1471814833.2
2023-07-10,0.07747,0.08266,0.07619,0.0798,1715919854.3
2023-07-17,0.07979,0.09439,0.07887,0.08337,2520783541.9
2023-07-24,0.08337,0.08545,0.07913,0.07999,2084951707.5
2023-07-31,0.08,0.08035,0.07576,0.07699,1675628954.3
2023-08-07,0.077,0.07762,0.07595,0.07711,1179080022.3
2023-08-14,0.07711,0.07762,0.07188,0.07591,1729969931.2
2023-08-21,0.07591,0.07794,0.07402,0.07755,1435677340.1
2023-08-28,0.07754,0.07796,0.07518,0.07703,1453534479.8
2023-09-04,0.07704,0.0795,0.0767,0.0783,1289311793.2
2023-09-11,0.07831,0.08453,0.07699,0.08334,1872357095.2
2023-09-18,0.08334,0.08503,0.08274,0.0836,1323656874.9
2023-09-25,0.08359,0.09042,0.08323,0.09011,1451023031.6
2023-10-02,0.09011,0.09109,0.08532,0.08802,1596170064.9
2023-10-09,0.08803,0.08831,0.0847,0.08667,1225875103.1
2023-10-16,0.08667,0.09209,0.08661,0.09031,1820425719.7
2023-10-23,0.09032,0.09515,0.08998,0.09489,2053704261.2
2023-10-30,0.09489,0.10121,0.09401,0.09808,1962533006.9
2023-11-06,0.09808,0.11313,0.09592,0.10851,2502298209.6
2023-11-13,0.1085,0.11057,0.10118,0.10349,2069199708.7
2023-11-20,0.10349,0.10995,0.0957,0.10778,2460329473.4
2023-11-27,0.10779,0.108,0.09991,0.10308,1970945309.1
2023-12-04,0.10309,0.10866,0.10206,0.10784,2386543480.8
2023-12-11,0.10784,0.10794,0.101,0.10203,1987070858.0
2023-12-18,0.10204,0.1075,0.09769,0.1062,1865029982.2
2023-12-25,0.10621,0.109,0.102,0.10764,2207116561.5
2024-01-01,0.10764,0.11052,0.10177,0.1028,2418348763.0
2024-01-08,0.1028,0.11768,0.10115,0.11121,3590192236.2
2024-01-15,0.11122,0.1144,0.1066,0.10895,2287603789.8
2024-01-22,0.10895,0.11661,0.10615,0.11224,2206714036.7
2024-01-29,0.11224,0.119,0.11144,0.11843,2023506468.8
2024-02-05,0.11842,0.1278,0.1179,0.12422,1992192691.2
2024-02-12,0.12421,0.13941,0.12353,0.13518,2455308438.2
2024-02-19,0.13518,0.14048,0.13505,0.13765,2127056072.6
2024-02-26,0.13764,0.14422,0.13399,0.14065,2479623047.7
2024-03-04,0.14064,0.14202,0.13346,0.13377,2880604702.7
2024-03-11,0.13377,0.13427,0.12431,0.12624,3286053174.6
2024-03-18,0.12624,0.12671,0.11031,0.12014,3278037439.6
2024-03-25,0.12014,0.12334,0.11701,0.12296,2229104510.0
2024-04-01,0.12296,0.1232,0.11572,0.12056,2337643796.5
2024-04-08,0.12056,0.12401,0.10776,0.11243,3810293147.0
2024-04-15,0.11243,0.11535,0.10496,0.11132,3590150408.4
2024-04-22,0.11132,0.12282,0.11041,0.12124,2451461687.8
2024-04-29,0.12124,0.12385,0.11718,0.12107,2736383115.1
2024-05-06,0.12107,0.12767,0.11816,0.12738,2272186976.9
2024-05-13,0.12738,0.12756,0.12053,0.12117,1547845005.3
2024-05-20,0.12116,0.12459,0.11272,0.11311,1965738285.5
2024-05-27,0.11312,0.11526,0.11032,0.11477,1819031468.4
2024-06-03,0.11477,0.11696,0.1111,0.11688,1894208461.7
2024-06-10,0.11688,0.11797,0.11489,0.1173,2006859506.8
2024-06-17,0.1173,0.1205,0.11279,0.11924,1819251817.9
2024-06-24,0.11924,0.12623,0.11772,0.1247,1643927513.0
2024-07-01,0.1247,0.13091,0.12117,0.12466,2586822360.8
2024-07-08,0.12464,0.14154,0.12284,0.13761,2023750476.1
2024-07-15,0.1376,0.13889,0.13284,0.13431,1502083820.5
2024-07-22,0.13431,0.1392,0.1311,0.1386,1343631222.8
2024-07-29,0.1386,0.1394,0.1229,0.1264,2083478912.3
2024-08-05,0.1264,0.1297,0.117,0.1277,2458031447.8
2024-08-12,0.1277,0.1362,0.1256,0.1351,1928933242.9
2024-08-19,0.1351,0.17,0.134,0.1664,8250444909.9
2024-08-26,0.1663,0.1687,0.1549,0.1556,3624074413.9
2024-09-02,0.1556,0.1569,0.1466,0.1532,2305288657.2
2024-09-09,0.1532,0.155,0.147,0.149,1923825481.7
2024-09-16,0.1489,0.1528,0.1478,0.1517,1419784486.5
2024-09-23,0.1518,0.1575,0.1494,0.1565,1456987367.0
2024-09-30,0.1565,0.1578,0.153,0.1543,1912313158.1
2024-10-07,0.1543,0.164,0.1538,0.1626,1631212902.3
2024-10-14,0.1626,0.1632,0.1561,0.1567,1406424143.3
2024-10-21,0.1568,0.1668,0.1556,0.164,1652847259.8
2024-10-28,0.1641,0.1705,0.1631,0.1651,1513107296.3
2024-11-04,0.1651,0.1668,0.1596,0.1639,2107434567.7
2024-11-11,0.164,0.2047,0.1637,0.1993,5485877166.8
2024-11-18,0.1993,0.2248,0.1931,0.2085,4507638109.5
2024-11-25,0.2086,0.2123,0.1863,0.2072,3886955095.2
2024-12-02,0.2072,0.45,0.2033,0.3183,16392413130.1
2024-12-09,0.3183,0.3209,0.2407,0.2856,8099302623.5
2024-12-16,0.2856,0.3047,0.2242,0.2442,8678600685.4
2024-12-23,0.2443,0.2654,0.2415,0.2578,4490382741.4
2024-12-30,0.2578,0.2742,0.2504,0.2627,3425921291.8
2025-01-06,0.2627,0.2716,0.2316,0.2336,4570666793.6
2025-01-13,0.2336,0.2679,0.2168,0.2287,7381302308.0
2025-01-20,0.2286,0.2614,0.2241,0.2462,6630586708.3
2025-01-27,0.2463,0.258,0.2224,0.2255,4833113454.5
2025-02-03,0.2255,0.2377,0.2011,0.2322,6629079279.0
2025-02-10,0.2322,0.2491,0.228,0.2424,3124679636.5
2025-02-17,0.2424,0.2506,0.2325,0.246,2868338534.9
2025-02-24,0.246,0.249,0.2171,0.2441,6306978739.5
2025-03-03,0.2441,0.2509,0.2267,0.2321,4326162410.0
2025-03-10,0.2322,0.2381,0.2109,0.2119,3873850643.4
2025-03-17,0.2119,0.2437,0.2111,0.23,3586814892.3
2025-03-24,0.23,0.2358,0.2251,0.2319,2295192776.1
2025-03-31,0.2318,0.2418,0.2283,0.2301,2193653342.4
2025-04-07,0.2301,0.2547,0.221,0.2547,3922920696.2
2025-04-14,0.2547,0.2597,0.2396,0.2438,3021899880.1
2025-04-21,0.2437,0.2544,0.2406,0.2454,3008532260.1
2025-04-28,0.2454,0.2499,0.2423,0.2471,1885748953.8
2025-05-05,0.2471,0.2687,0.2435,0.2651,3530479928.3
2025-05-12,0.2651,0.2801,0.2608,0.2679,4771587092.9
2025-05-19,0.268,0.2821,0.2605,0.2723,3501282070.0
2025-05-26,0.2723,0.2797,0.2632,0.2708,2183551465.4
2025-06-02,0.2708,0.2877,0.2659,0.2817,2037028351.8
2025-06-09,0.2818,0.2946,0.2669,0.2739,2731886845.3
2025-06-16,0.2739,0.2953,0.2589,0.2635,3504605920.0
2025-06-23,0.2634,0.2769,0.2633,0.2769,1709761463.0
2025-06-30,0.2769,0.288,0.2759,0.287,1150311571.7
2025-07-07,0.287,0.3068,0.2854,0.3028,1962546655.0
2025-07-14,0.3029,0.3344,0.2954,0.314,4218798056.0
2025-07-21,0.3141,0.3229,0.3006,0.3199,4570557961.1
2025-07-28,0.32,0.351,0.3187,0.3275,5833827510.9
2025-08-04,0.3275,0.3422,0.3271,0.3383,2589637192.1
2025-08-11,0.3382,0.37,0.3381,0.3534,4111813904.2
2025-08-18,0.3533,0.3687,0.3444,0.3614,3673460316.1
2025-08-25,0.3614,0.3617,0.3334,0.341,3109404882.7
2025-09-01,0.341,0.342,0.2977,0.3312,3014056530.8
2025-09-08,0.3313,0.3547,0.3294,0.3485,2020764303.6
2025-09-15,0.3485,0.3526,0.3387,0.3426,2045495375.1
2025-09-22,0.3426,0.3431,0.33,0.3357,2051869122.3
2025-09-29,0.3357,0.3459,0.3315,0.3413,1406523500.2
2025-10-06,0.3414,0.3473,0.3,0.3227,2532586538.7
2025-10-13,0.3228,0.3243,0.3046,0.3205,2572255283.4
2025-10-20,0.3205,0.3253,0.2937,0.3003,2527812397.9
2025-10-27,0.3003,0.3024,0.2883,0.2981,2038194629.1
2025-11-03,0.2981,0.2984,0.2764,0.2906,3128359827.7
2025-11-10,0.2906,0.3012,0.2884,0.2924,2550069725.4
2025-11-17,0.2923,0.2963,0.2731,0.275,2857595442.4
2025-11-24,0.275,0.2833,0.2709,0.2815,1339965530.4
2025-12-01,0.2815,0.2904,0.2754,0.2868,1763553323.5
2025-12-08,0.2868,0.288,0.2706,0.2773,1305970546.6
2025-12-15,0.2773,0.2886,0.277,0.2883,1457170516.8
2025-12-22,0.2883,0.2891,0.2769,0.285,1039859184.4
2025-12-29,0.2849,0.2958,0.2815,0.2939,1062403894.7
2026-01-05,0.294,0.2995,0.2911,0.2979,1049510973.1
